ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-03-13,5064.01380204538,4323.764765024758,5837.912079725399,brand,Cala Grill
2022-03-14,3049.281034358308,2256.310623397945,3851.010533218933,brand,Cala Grill
2022-03-15,3167.068047827148,2330.949275268193,3959.8517343762883,brand,Cala Grill
2022-03-16,3059.726181301574,2255.01155671781,3847.2431331953567,brand,Cala Grill
2022-03-17,3092.6165028025207,2348.746164971766,3884.5030367682984,brand,Cala Grill
2022-03-18,4564.372214325911,3751.123192500117,5328.22445627113,brand,Cala Grill
2022-03-19,3522.5950694745575,2702.2475212696195,4333.124267867187,brand,Cala Grill
2022-03-20,4710.328636115299,3978.5310259563253,5453.073426061857,brand,Cala Grill
2022-03-21,2670.1144306081305,1910.440569981375,3506.072070174335,brand,Cala Grill
2022-03-22,2766.575745479557,2006.9524879353885,3614.273779599661,brand,Cala Grill
2022-03-23,2642.4783962033134,1854.848593576049,3448.90450697794,brand,Cala Grill
2022-03-24,2663.5006650197856,1868.3280149929567,3427.909141745722,brand,Cala Grill
2022-03-25,4128.488478037147,3381.487136669498,4876.332376905482,brand,Cala Grill
2022-03-26,3085.1473198446474,2267.2704458527232,3878.0761519932216,brand,Cala Grill
2022-03-27,4276.513817351963,3456.5047051981937,5094.816750189631,brand,Cala Grill
2022-03-28,2245.0130414795517,1438.0155834361033,3025.512919109972,brand,Cala Grill
2022-03-29,2355.0462929383334,1515.5097213600116,3101.1992769188914,brand,Cala Grill
2022-03-30,2249.0584668342653,1487.8860834254865,3051.3476942891302,brand,Cala Grill
2022-03-31,2292.31707190324,1522.4748943384118,3118.5294667355524,brand,Cala Grill
2022-01-01,24071.965896662463,20212.287866278195,27791.24611947865,brand,Crust Co.
2022-01-02,29949.28229371852,26194.810311318663,33528.40606089899,brand,Crust Co.
2022-01-03,17453.938894218958,13587.962883050866,21474.838100393485,brand,Crust Co.
2022-01-04,25289.585297400834,21446.200972579278,29131.175705094094,brand,Crust Co.
2022-01-05,17473.22789827751,13519.965784915423,21293.972324219816,brand,Crust Co.
2022-01-06,19152.373525090603,15126.825393763578,22843.489934070018,brand,Crust Co.
2022-01-07,18804.26568556198,14824.641858251878,22536.459008719186,brand,Crust Co.
2022-01-08,21919.454508399853,17814.155817518345,25803.037886513837,brand,Crust Co.
2022-01-09,27654.689286034038,23900.684627768638,31914.48203002463,brand,Crust Co.
2022-01-10,15058.505160598797,11335.763584645692,19270.86593082089,brand,Crust Co.
2022-01-11,22835.665786086964,18789.549613679843,26755.570314562003,brand,Crust Co.
2022-01-12,15003.379008330785,10804.07822859985,19183.016814682724,brand,Crust Co.
2022-01-13,16708.448513658055,12879.55833205447,20570.06406969087,brand,Crust Co.
2022-01-14,16426.53964014604,12617.362254484287,20428.269309646093,brand,Crust Co.
2022-01-15,19645.79948577169,15757.231650333339,23533.692060617414,brand,Crust Co.
2022-01-16,25519.818749398746,21736.41934515933,29331.32928201004,brand,Crust Co.
2022-01-17,13093.304895419544,9295.624441831922,16743.347305238458,brand,Crust Co.
2022-01-18,21066.62610300456,17117.994588536774,25082.880357915416,brand,Crust Co.
2022-01-19,13452.14031097613,9441.258822749223,17085.704738516204,brand,Crust Co.
2022-01-20,15391.46929624792,11121.711211662623,19294.45908078184,brand,Crust Co.
2022-01-21,15354.892766046589,11580.959262108247,19138.184827846468,brand,Crust Co.
2022-01-22,18825.099271608,15284.536695004954,22782.047108888524,brand,Crust Co.
2022-01-23,24950.278026646483,21276.450733329635,28871.756443450373,brand,Crust Co.
2022-01-24,12769.917935237736,8933.61977314887,16957.0457313938,brand,Crust Co.
2022-01-25,20979.470152699694,17278.58534099457,25167.869164771066,brand,Crust Co.
2022-01-26,13586.785587861334,9683.987320859329,17533.899355986487,brand,Crust Co.
2022-01-27,15729.484688555955,11824.669507285627,19937.916417880213,brand,Crust Co.
2022-01-28,15874.432268241693,12201.143310220468,19760.192695990027,brand,Crust Co.
2022-01-29,19501.55238707979,15481.546116353327,23359.632336141734,brand,Crust Co.
2022-01-30,25756.966047046808,21808.44218179324,29527.87480795029,brand,Crust Co.
2022-01-31,13678.817183580959,10108.551010964322,17787.625211244467,brand,Crust Co.
2022-02-01,21961.94296952618,18012.01549272021,25995.67894482216,brand,Crust Co.
2022-02-02,14614.300050914311,10721.332809677342,18407.35898052425,brand,Crust Co.
2022-02-03,16774.304771125444,12497.281153173662,20700.00568028875,brand,Crust Co.
2022-02-04,16910.261333831455,13192.432119263383,20969.408197707275,brand,Crust Co.
2022-02-05,20504.11454963587,16566.8382694733,24432.831188823304,brand,Crust Co.
2022-02-06,26704.511945607395,23008.806990792047,30633.651399381695,brand,Crust Co.
2022-02-07,14552.543064741963,10612.462236922374,18715.16371403822,brand,Crust Co.
2022-02-08,22746.314575787033,18689.969802322787,26838.491361127708,brand,Crust Co.
2022-02-09,15297.275596936795,11399.800742875086,18836.296183978804,brand,Crust Co.
2022-02-10,17347.454178221364,13210.37230804719,21150.634069413674,brand,Crust Co.
2022-02-11,17368.781800750556,13677.880157231848,21333.351531611333,brand,Crust Co.
2022-02-12,20846.745387465926,16555.46330020971,24426.785995896164,brand,Crust Co.
2022-02-13,26933.35431343736,22906.143748701696,30891.220803439996,brand,Crust Co.
2022-02-14,14672.792743550664,10548.860652310015,18550.727902340048,brand,Crust Co.
2022-02-15,22765.9181378606,18924.149130516387,26472.230412619367,brand,Crust Co.
2022-02-16,15226.522215759596,11163.456478945132,19056.613325467748,brand,Crust Co.
2022-02-17,17198.516825930426,13134.957674346613,20830.427954815576,brand,Crust Co.
2022-02-18,17155.222666476708,13249.459402299422,21007.10034084315,brand,Crust Co.
2022-02-19,20583.00099066844,16861.82177017223,24305.22571200593,brand,Crust Co.
2022-02-20,26634.215977882,22911.6981561356,30675.08553956011,brand,Crust Co.
2022-02-21,14352.897835420386,10216.93399287444,18213.661035879533,brand,Crust Co.
2022-02-22,22439.26677483016,18541.308013838163,26374.881801027415,brand,Crust Co.
2022-02-23,14906.033049535192,11343.234996334253,18950.325546592758,brand,Crust Co.
2022-02-24,16895.634025451633,12773.65030524253,20600.9124817463,brand,Crust Co.
2022-02-25,16879.58443304766,12694.598968001956,20866.27756173808,brand,Crust Co.
2022-02-26,20342.177877224753,16550.287925179993,24271.432115201296,brand,Crust Co.
2022-02-27,26433.52502379298,22691.580580720725,30428.304541658825,brand,Crust Co.
2022-02-28,14195.296136969977,10270.316185777498,18399.763290711115,brand,Crust Co.
2022-03-01,22325.3256624499,18330.49214948863,25950.634878110115,brand,Crust Co.
2022-03-02,14833.991601834976,10745.560083794137,18596.186444545947,brand,Crust Co.
2022-03-03,16861.528298421494,12876.912081600141,20688.077733371352,brand,Crust Co.
2022-03-04,16877.446577656978,12922.255237768963,20720.30406749536,brand,Crust Co.
2022-03-05,20364.297329544064,16710.992878793815,24014.369938609947,brand,Crust Co.
2022-03-06,26470.762229590553,22306.11716724549,30134.151411114508,brand,Crust Co.
2022-03-07,14237.437866762111,10244.908558800074,18076.64769490927,brand,Crust Co.
2022-03-08,22361.469917244613,18592.141049654336,26114.06314541748,brand,Crust Co.
2022-03-09,14852.949432362948,10906.890064074185,18894.300364102033,brand,Crust Co.
2022-03-10,16852.229574357796,13010.17981203432,20978.94216540807,brand,Crust Co.
